matchV48,clutch-ID
V48_002,E_46
V48_003,NE_34
V48_006,E_30
V48_008,E_49
V48_009,E_49
V48_010,NE_46
V48_011,E_34
V48_012,E_34
V48_013,NE_30
V48_017,NE_49
V48_018,NE_49
V48_021,NE_04
V48_022,NE_31
V48_028,E_31
V48_029,E_31
V48_032,E_30
V48_038,E_46
V48_043,NE_30
V48_047,NE_46
V48_048,E_34
V48_052,NE_31
V48_055,E_04
V48_057,E_04
V48_065,E_31
V48_066,E_31
V48_067,NE_46
V48_070,E_05
V48_071,E_05
V48_074,NE_31
V48_075,NE_31
V48_078,E_16
V48_079,NE_16
V48_081,NE_16
V48_082,NE_04
V48_089,E_04
V48_090,E_04
V48_099,E_46
V48_108,NE_05
V48_110,E_31
V48_111,E_31
V48_115,NE_04
V48_116,NE_04
V48_122,E_04
V48_126,E_16
V48_133,E_05
V48_134,E_05
V48_137,E_30
V48_139,NE_05
V48_140,NE_05
V48_150,NE_31
V48_152,E_04
V48_160,NE_04
V48_171,E_49
V48_174,NE_49
V48_178,E_46
V48_181,E_30
V48_187,NE_46
V48_189,NE_46
V48_198,NE_49
V48_202,E_46
V48_203,E_46
V48_204,E_46
V48_211,NE_30
V48_213,NE_30
V48_218,E_16
V48_219,E_16
V48_220,NE_49
V48_224,NE_46
V48_227,E_30
V48_228,E_30
V48_232,NE_16
V48_241,NE_04
V48_245,E_16
V48_252,E_05
V48_256,E_04
V48_262,NE_05
V48_263,NE_05
V48_264,E_31
V48_270,E_16
V48_271,E_16
V48_272,NE_31
V48_278,E_30
V48_279,NE_04
V48_281,NE_04
V48_295,NE_30
V48_298,E_49
V48_307,NE_31
V48_310,E_30
V48_311,NE_34
V48_312,NE_34
V48_314,E_16
V48_326,E_34
V48_328,NE_46
V48_329,NE_34
V48_330,NE_34
V48_331,NE_34
V48_337,NE_49
V48_338,NE_30
V48_340,NE_30
V48_344,NE_16
V48_347,NE_49
V48_348,NE_49
V48_357,NE_31
V48_360,E_05
V48_363,E_04
V48_364,NE_05
V48_365,NE_05
V48_369,NE_16
V48_370,NE_16
V48_372,E_49
V48_377,E_34
V48_378,NE_46
V48_380,E_04
V48_385,E_05
V48_386,E_05
V48_391,E_49
